# STATION: KATL,,
# STATION NAME: Atlanta, Hartsfield - Jackson Atlanta International Airport,
# LATITUDE: 33.64028,,
# LONGITUDE: -84.42694,,
# ELEVATION [ft]: 1027,,
# STATE: GA,,
Station_ID,Date_Time,relative_humidity_set_1
,,%
KATL,01/02/2017 00:00 EST,100
KATL,01/02/2017 00:05 EST,100
KATL,01/02/2017 00:10 EST,100
KATL,01/02/2017 00:15 EST,100
KATL,01/02/2017 00:20 EST,100
KATL,01/02/2017 00:25 EST,100
KATL,01/02/2017 00:30 EST,100
KATL,01/02/2017 00:35 EST,100
KATL,01/02/2017 00:40 EST,100
KATL,01/02/2017 00:45 EST,100
KATL,01/02/2017 00:50 EST,100
KATL,01/02/2017 00:52 EST,100
KATL,01/02/2017 00:55 EST,100
KATL,01/02/2017 01:00 EST,100
KATL,01/02/2017 01:05 EST,100
KATL,01/02/2017 01:10 EST,100
KATL,01/02/2017 01:15 EST,100
KATL,01/02/2017 01:20 EST,100
KATL,01/02/2017 01:25 EST,100
KATL,01/02/2017 01:30 EST,93.55
KATL,01/02/2017 01:35 EST,93.55
KATL,01/02/2017 01:40 EST,93.55
KATL,01/02/2017 01:45 EST,100
KATL,01/02/2017 01:50 EST,100
KATL,01/02/2017 01:52 EST,100
KATL,01/02/2017 01:55 EST,100
KATL,01/02/2017 02:00 EST,100
KATL,01/02/2017 02:05 EST,100
KATL,01/02/2017 02:10 EST,100
KATL,01/02/2017 02:15 EST,100
KATL,01/02/2017 02:20 EST,100
KATL,01/02/2017 02:25 EST,100
KATL,01/02/2017 02:30 EST,100
KATL,01/02/2017 02:35 EST,100
KATL,01/02/2017 02:40 EST,100
KATL,01/02/2017 02:45 EST,100
KATL,01/02/2017 02:50 EST,100
KATL,01/02/2017 02:52 EST,100
KATL,01/02/2017 02:55 EST,100
KATL,01/02/2017 03:00 EST,100
KATL,01/02/2017 03:05 EST,100
KATL,01/02/2017 03:10 EST,100
KATL,01/02/2017 03:15 EST,100
KATL,01/02/2017 03:20 EST,100
KATL,01/02/2017 03:25 EST,100
KATL,01/02/2017 03:30 EST,100
KATL,01/02/2017 03:35 EST,100
KATL,01/02/2017 03:40 EST,100
KATL,01/02/2017 03:45 EST,100
KATL,01/02/2017 03:50 EST,100
KATL,01/02/2017 03:52 EST,100
KATL,01/02/2017 03:55 EST,100
KATL,01/02/2017 04:00 EST,100
KATL,01/02/2017 04:05 EST,100
KATL,01/02/2017 04:10 EST,100
KATL,01/02/2017 04:15 EST,100
KATL,01/02/2017 04:20 EST,100
