# STATION: KATL,,
# STATION NAME: Atlanta, Hartsfield - Jackson Atlanta International Airport,
# LATITUDE: 33.64028,,
# LONGITUDE: -84.42694,,
# ELEVATION [ft]: 1027,,
# STATE: GA,,
Station_ID,Date_Time,cloud_layer_2_code_set_1
,,code
KATL,01/02/2017 12:15 EST,
KATL,01/02/2017 12:20 EST,
KATL,01/02/2017 12:25 EST,
KATL,01/02/2017 12:30 EST,
KATL,01/02/2017 12:35 EST,
KATL,01/02/2017 12:40 EST,
KATL,01/02/2017 12:45 EST,
KATL,01/02/2017 12:50 EST,
KATL,01/02/2017 12:52 EST,
KATL,01/02/2017 12:55 EST,
KATL,01/02/2017 13:00 EST,
KATL,01/02/2017 13:05 EST,
KATL,01/02/2017 13:10 EST,
KATL,01/02/2017 13:15 EST,
KATL,01/02/2017 13:20 EST,
KATL,01/02/2017 13:25 EST,
KATL,01/02/2017 13:30 EST,
KATL,01/02/2017 13:35 EST,
KATL,01/02/2017 13:40 EST,
KATL,01/02/2017 13:45 EST,
KATL,01/02/2017 13:50 EST,
KATL,01/02/2017 13:52 EST,53
KATL,01/02/2017 13:55 EST,94
KATL,01/02/2017 14:00 EST,94
KATL,01/02/2017 14:05 EST,53
KATL,01/02/2017 14:10 EST,53
KATL,01/02/2017 14:15 EST,53
KATL,01/02/2017 14:20 EST,53
KATL,01/02/2017 14:25 EST,53
KATL,01/02/2017 14:30 EST,53
KATL,01/02/2017 14:35 EST,53
KATL,01/02/2017 14:40 EST,53
KATL,01/02/2017 14:44 EST,
KATL,01/02/2017 14:45 EST,
KATL,01/02/2017 14:50 EST,
KATL,01/02/2017 14:52 EST,
KATL,01/02/2017 14:55 EST,
KATL,01/02/2017 15:00 EST,
KATL,01/02/2017 15:05 EST,134
KATL,01/02/2017 15:10 EST,114
KATL,01/02/2017 15:15 EST,114
KATL,01/02/2017 15:20 EST,113
KATL,01/02/2017 15:23 EST,103
KATL,01/02/2017 15:25 EST,103
KATL,01/02/2017 15:30 EST,103
KATL,01/02/2017 15:35 EST,103
KATL,01/02/2017 15:40 EST,103
KATL,01/02/2017 15:43 EST,163
KATL,01/02/2017 15:45 EST,193
KATL,01/02/2017 15:50 EST,203
KATL,01/02/2017 15:52 EST,203
KATL,01/02/2017 15:55 EST,503
KATL,01/02/2017 15:59 EST,503
KATL,01/02/2017 16:00 EST,503
KATL,01/02/2017 16:05 EST,503
KATL,01/02/2017 16:10 EST,503
KATL,01/02/2017 16:15 EST,503
KATL,01/02/2017 16:19 EST,703
KATL,01/02/2017 16:20 EST,703
KATL,01/02/2017 16:25 EST,702
KATL,01/02/2017 16:30 EST,752
KATL,01/02/2017 16:35 EST,1004
KATL,01/02/2017 16:40 EST,1004
KATL,01/02/2017 16:45 EST,1004
KATL,01/02/2017 16:49 EST,702
KATL,01/02/2017 16:50 EST,702
KATL,01/02/2017 16:52 EST,702
KATL,01/02/2017 16:55 EST,1004
KATL,01/02/2017 17:00 EST,1004
